a-đô-nít	(dtừ) adonis.
a-gô-nốt	(dtừ) argonaut.
a-pac-thai	() apartheid.
a-rập	(ttừ) arabic, arabian.
a-ri-xtôt	(ttừ) aristotelian.
a a	(thán từ) hey-day.
a à	(thán từ) er.
a di đà phật	() buddha of infinite light.
a di đà phật	() buddha amitabha.
a dua	() to ape.
a dua	() to imitate.
a ha	() aha.
a ha	() ha.
a hèm	(thán từ) ahem.
a hoàn	() abigail.
a hoàn	() maidservant.
a hoàn	() lady-in-waiting.
a ngùy	(dtừ) asafoetida, assafoetida.
a phiến	() xem nha phiến.
a phiến trắng	() heroin.
a tòng	() xem thông đồng.
ac-mê-ni	(ttừ) armenian.
acsimét	(ttừ) archimedean.
acten	(dtừ) artel.
aga thạch trắng	(dtừ) agar-agar.
agon	(dtừ) argon.
ai	() who.
ai	() whom.
ai	() xem người nào.
ai	() everyone/everybody.
ai-cập	(ttừ) egyptian.
ai-cập học	(dtừ) egyptology.
ai-len	(ttừ) hibernian.
ai ai	() everyone.
ai ai	() everybody.
ai ca	(dtừ) monody.
ai ca	(dtừ) elegy.
ai ca	(dtừ) dirge.
ai ca	(dtừ) keen.
ai cáo	(dtừ) funeral announcement.
ai cũng biết	(dtừ) notoriety.
ai cũng biết	(ngđtừ) universalise.
ai cũng biết	(ttừ) well-known, notorious, open, proverbial.
ai cũng có	(ngđtừ) universalise.
ai cũng thân thì chẳng thân với ai cả	() a friend to all is a friend to none.
ai cũng vì bản thân mình	(thngữ) every man for himself.
ai dè	() unexpectedly.
ai dè	() astonishingly.
ai dè	() amazingly.
ai đấy	() who is it?.
ai đấy	() who's that?.
ai đấy	() who's there?.
ai đấy	() who goes there?.
ai đến cũng tiếp đãi	(thngữ) to keep open house.
ai đến trước được phục vụ trước	() first come first served.
ai điếu	(dtừ) condolence.
ai điếu	(dtừ) last homage.
ai đó	() xem ai đấy? somebody.
ai đó	() someone.
ai đó phải được đối xử công bằng	(thngữ) fair's fair.
ai đời	(khẩu ngữ) fancy.
ai khó ba đời	(thngữ) every dog has his day, every dog has his.
ai lao	() xem lào.
ai làm nấy chịu	() who breaks pays.
ai nấy	() each and all, one and all.
ai nấy	() everybody.
ai nấy	() all without exception.
ai ngờ	() xem ai dè.
ai nói gì tin nấy	(ttừ) bare.
ai oán	(ttừ) plaintive.
ai oán	(ttừ) plangent.
ai oán	(ttừ) mournful.
ai oán	(ttừ) wailful.
ai rồi cũng có lúc gặp vận	(thngữ) every dog has his.
ai sao mình vậy	() to follow the crowd.
ai thắng ai	(khẩu ngữ) who wins? who loses?.
ai tín	(dtừ) sad news.
ai tín	(dtừ) announcement of death.
ai tìm được người ấy giữ	(thngữ) finders keepers.
ai trả tiền thì người ấy có quyền	(thngữ) he who pays the piper calls the tune.
ai vãn	(dtừ) funeral scrolls sent by friends on the occasion of a death.
ai vậy	() xem ai đấy.
aliđat	(dtừ) alidad.
alô	() hallo.
alô	() hello.
alô	() hullo.
alô	() xem gọi điện thoại.
alô	() attention, please!.
alumin	(dtừ) alumina.
alumin	(ttừ) aluminous.
am	(dtừ) small temple, small pagoda.
am	(dtừ) hermitage, secluded hut.
am	(dtừ) undine.
am hiểu	() expert in (at, on), well-informed about, familiar with, conversant with, knowledgeable about, having a good command of, having a thorough knowledge of.
am hiểu những cái mới	(ttừ) hep.
am luyện	(ttừ) skilled.
am luyện	(ttừ) experienced.
am mây	(dtừ) temple in the clouds.
am mây	(dtừ) secluded buddhist convent or temple.
am pe	(dtừ) ampere.
am thiền	(dtừ) hermitage for religious meditation (by tradition of zen buddhism).
am thuộc	() fully versed in sth.
am thuộc	() conversant/familiar with sth.
am tường	() như am hiểu.
am tự	(dtừ) small pagoda.
amaton	(dtừ) amatol.
amatơ	() amateur.
amen	(thán từ) amen.
ameriđi	(dtừ) americium.
