pa-tê	(dtừ) terrine.
pa-tê nóng nhồi thịt lươn	(dtừ) eel-pie.
pa nô	() panel.
pa nô	() (để dán quảng cáo) hoarding.
pa ra bôn	() parabola.
pa tê	() pâté.
pacsec	(dtừ) parsec.
palăng	(dtừ) tackle.
palăng nhỏ để kéo buồm	(dtừ) jiggered, jigger.
pan	() to have a breakdown.
pan	() to break down.
panô quảng cáo	(dtừ) hoarding.
pao	() pound.
papain	(dtừ) papain.
parafin	() paraffin.
paraphin lỏng	(dtừ) mineral oil.
paregoric	(ttừ) paregoric.
pasa	(dtừ) pacha, pasha.
patanh	() roller-skating.
patanh	(đùa cợt) to come a cropper.
patanh	(đùa cợt) to take a tumble.
patê	(dtừ) pậtô.
peclit	(dtừ) perlite.
pecloric	(ttừ) perchloric.
pecmatit	(dtừ) pegmatite.
pepxin	() pepsin.
periđot	(dtừ) peridot.
petxe	(dtừ) pessary.
pê đan	() treadle.
pê đan	() pedal.
pê đê	() hermaphrodite.
pê đê	() pederast.
pê ni xi lin	() penicillin.
pêcpêch	(dtừ) perspex.
pêđê	(dtừ) pederast.
pha	() phase.
pha	() stage.
pha	() headlight.
pha	() headlamp.
pha	() searchlight.
pha	() to mix.
pha	() to mingle.
pha	() to make.
pha	() to prepare.
pha	() miscellaneous.
pha	() (âm nhạc) fa.
pha	() f.
pha-kia	(dtừ) fakir.
pha axit	(ngđtừ) acidulate.
pha cacbon	(dtừ) carbonization.
pha cacbon	(ngđtừ) carburet, carbonize.
pha cà phê	() to make coffee.
pha chè	() to make tea.
pha chè	() to brew tea.
pha chế	() prepare medecines, make up.
pha chế và cho	(ngđtừ) dispense.
pha cho ngọt	(ngđtừ) sweeten.
pha giọng	() with an accent.
pha giống	() hybrid.
pha giống	() cross-breed.
pha giữa	(dtừ) metaphase.
pha kế	() phasemeter.
pha lẫn	() mix.
pha lê	(dtừ) crystal, glass.
pha lê	(dtừ) cut glass, crystal.
pha lê dịch	() hyaloid humour.
pha loãng	() to dilute.
pha loãng	() to thin down.
pha lưu huỳnh	(dtừ) metallization.
pha lưu huỳnh	(ngđtừ) metallise.
pha metanola	(ngđtừ) methylate.
pha nhiều màu	(ttừ) pied.
pha nước	() make tea, brew tea.
pha nước vào pha vào rượu	(ngđtừ) qualify.
pha phách	() mix, dilute.
pha phin	(ngđtừ) percolate.
pha phôi	() xem phôi pha.
pha rađiô	(dtừ) radiophare.
pha rượu	() blend wines.
pha rượu mạnh vào	(ngđtừ) spike.
pha sau	(dtừ) anaphase.
pha sữa	() make the formula (for infant).
pha tạp	() mixed, mingled, mix.
pha thép	() steeled.
pha thêm	(ngđtừ) lace.
pha thêm nước	(ngđtừ) dilute.
pha thịt	() cut meat.
pha thuốc	() compound drugs.
pha tiếng	() mimic someone's voice.
pha tiếng	() imitale someone's voice.
pha tối	(dtừ) eclipse.
pha trà	() to make tea.
pha trà	() to brew tea.
pha trà	() to infuse tea.
pha trò	() to say/do something for a joke.
pha trò hề	(nđtừ) buffoon.
pha trò nhạt	(thngữ) to grin through a horse-collar.
pha trộn	() to mix.
pha trộn	() to blend.
pha trước	(dtừ) prophase.
phai	(dtừ) xem phai lạt, phai nhạt.
phai	(dtừ) fade, discolour, bleach, lose colour, deprice of colour, faded, discoloured.
phai	(dtừ) to lose fragrance.
phai	(dtừ) (fig) forget.
phai bạc vì nắng mưa	(ttừ) weather-stained.
phai đi	() become flat.
phai lạt	() (địa phương) xem phai.
phai màu	() fade, lose colour.
phai mờ	() fade.
phai mùi	() the scent is fading.
phai nhạt	() như phai.
phai phải	() middling.
phang	() to throw.
phang	() to fling.
phanh	() brake.
phanh	() to brake.
phanh	() to throw open.
phanh bánh trước	() nosewheel brake.
phanh bơi	(dtừ) air-brake.
phanh chân	() foot brake.
phanh đĩa	(thngữ) disc brake.
phanh hơi	() air brake.
phanh khẩn cấp	() emergency brake.
phanh lại	(đtừ) brake.
phanh ma xát	() friction-brake.
phanh phui	() to disclose.
phanh phui	() to expose.
phanh phui	() to lay bare.
phanh tay	() handbrake.
phanh thây	() to tear to pieces.
phanh thây	() to quarter.
