k	(danh từ) k.
k-ration	(danh từ) (từ mỹ, nghĩa mỹ), (quân sự) khẩu phần chiến đấu (gồm lương khô và đồ hộp).
k.o	(viết tắt) đo ván (knoc-out).
kaaba	(danh từ) toà nhà bằng đa hình khối ở mecca, điện thờ linh thiêng nhất để hành hương của hồi giáo.
kaama	(danh từ) (động vật học) linh dương cama.
kabbalah	(danh từ) phép thần thông, pháp thuật (của người do thái).
kabob	(danh từ) thịt nướng xiên.
kabuki	(danh từ) kịch kabuki, (kịch truyền thống của nhật bản với hát và múa, chỉ do nam tài tử biểu diễn).
kabyle	(danh từ) người cabailơ hồi giáo ở bắc phi, thuộc bờ biển phía đông angiê.
kabyle	(danh từ) ngôn ngữ cabailơ, thuộc họ ngôn ngữ á phi.
kaddish	(danh từ) bài kinh cầu do thái được đọc tại buổi lễ hàng ngày ở nhà nguyện; bài kinh (của thân nhân, họ hàng) cầu cho người chết.
kadi	(danh từ) pháp quan (thổ nhĩ kỳ, a-rập).
kaff	(danh từ) người ban-tu một chủng tộc ở nam phi.
kaff	(danh từ) (số nhiều) cổ phần mỏ (ở nam phi).
kaffeeklatsch	(danh từ) (thường) viết hoa, cuộc họp mặt thân mật để uống cà phê và nói chuyện.
kaffir	(danh từ) người ban-tu ở nam phi.
kaffiyeh	(danh từ) khăn chùm đầu của người bơđuin (người ả rập du mục sống ở những vùng sa mạc).
kafir	(danh từ) người ca-phia ở dãy núi hindu kush ở đông nam apganistan.
kafiri	(danh từ) ngôn ngữ của người ca-phia (ở apganistan, thuộc họ ngôn ngữ âu âu).
kafkaesque	(tính từ) theo phong cách franz kafka (+ 1924).
kaftan	(danh từ) áo captan (áo dài của người thổ nhĩ kỳ, có thắt ngang lưng).
kago	(danh từ) cái cáng (nhật bản).
kahawai	(danh từ) (số nhiều kahawai, kahawais) loại cá biển thuộc họ pecca (ở niu dilân và úc).
kai	(danh từ) thức ăn.
kaiak	(danh từ) xuồng caiac (xuồng gỗ nhẹ bọc da chó biển của người et-ki-mô).
kail	(danh từ) (thực vật học) cải xoăn.
kail	(danh từ) canh cải, xúp cải; xúp rau.
kail	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) tiền ((thường) tiền giấy).
kailyard	(danh từ) vườn rau.
kailyard	(danh từ) trường phái phương ngôn (của những nhà văn thường dùng ngôn ngữ địa phương để mô tả đời sống dân thường ở ê-cốt).
kaingin	(danh từ) nương rẫy.
kainite	(danh từ) (khoáng chất) cainit.
kaiser	(danh từ (sử học)) hoàng đế.
kaiser	(danh từ (sử học)) vua đức.
kaiser	(danh từ (sử học)) vua aó.
kaiserdom	(danh từ) địa vị hoàng đế (của đức).
kaiserin	(danh từ) hoàng hậu hoàng đế đức.
kaiserism	(danh từ) chủ nghĩa hoàng đế (của đức, áo).
kaka	(danh từ) (động vật học) vẹt caca (ở tân tây lan).
kakapo	(danh từ) cũng kakapos.
kakapo	(danh từ) loại vẹt đêm của niu dilân.
kakemono	(danh từ) bức tranh lụa (thường mắc vào trục cuộn ở nhật).
kala-azar	(danh từ) bệnh sốt rét (ở vùng nhiệt đới do rệp và bọ chét truyền cho).
kaldor - hicks test	(danh từ) (kinh tế học) kiểm định kaldor - hicks.
kale	(danh từ) (thực vật học) cải xoăn.
kale	(danh từ) canh cải, xúp cải; xúp rau.
kale	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) tiền ((thường) tiền giấy).
kalecki	(micheal, danh từ) (kinh tế học) (1899-1970).
kaleidoscope	(danh từ) kính vạn hoa.
kaleidoscope	(danh từ) (nghĩa bóng) cảnh nhiều màu sắc biến ảo.
kaleidoscopic	(tính từ) (thuộc) kính vạn hoa.
kaleidoscopic	(tính từ) (nghĩa bóng) có nhiều màu sắc biến ảo.
kaleidoscopical	(tính từ) (thuộc) kính vạn hoa.
kaleidoscopical	(tính từ) (nghĩa bóng) có nhiều màu sắc biến ảo.
kaleidoscopically	(phó từ) qua kính vạn hoa, bằng kính vạn hoa.
kalends	(danh từ) ngày đầu tháng ngay sóc (trong lịch la mã cũ).
kalends	(danh từ) không khi nào, không bao giờ, không đời nào.
kaleyard	(danh từ) vườn rau.
kaleyard	(danh từ) trường phái phương ngôn (của những nhà văn thường dùng ngôn ngữ địa phương để mô tả đời sống dân thường ở ê-cốt).
kali	(danh từ) (thực vật học) cây muối.
kalinite	(danh từ) (khoáng chất) calinit.
kaliph	(danh từ) caliph (lãnh tụ hồi giáo trước đây).
kaliphate	(danh từ) xem caliphate.
kalium	(danh từ) (hoá học) kali.
kalman filtering	(danh từ) (kinh tế học) phép lọc kalman.
kalmuck	(danh từ) cũng kalmuk.
kalmuck	(danh từ) ngôn ngữ mông cổ của người can mức.
kalmuck	(danh từ) người can mức, nhóm người mông cổ cư ngụ từ miền tây trung quốc đến biển caxpiên.
kalmyk	(danh từ) xem kalmuck.
kalong	(danh từ) (động vật học) dơi quạ (mã-lai).
kalpa	(danh từ) kiếp (theo tín ngưỡng ấn độ thế giới trải qua cứ vạn năm bị hủy diệt một lần rồi lại tái sinh là một kiếp).
kamikaze	(danh từ) phi đội thần phong của nhật bản thời đệ nhị thế chiến.
kampometer	(danh từ) (vật lý) cái đo nhiệt xạ.
kampong	(danh từ (mâ-lai)) khu vực có hàng rào bao quanh.
kampong	(danh từ (mâ-lai)) làng.
kampuchean	(danh từ) người cămpuchia.
kampuchean	(danh từ) tiếng cămpuchia.
kampuchean	(tính từ) xem trên chỉ thuộc về.
kana	(danh từ) chữ kana (nhật).
kanaka	(danh từ) thổ dân ca-nác (ở các đảo nam thái bình dương).
kanaka	(danh từ) công nhân đồn điền mía (ở uc).
kanarese	(danh từ) (số nhiều kanarese) người dân nói tiếng kanarese ở myrose, nam ấn độ.
kangaroo	(danh từ) (động vật học) con canguru.
kangaroo	(danh từ) (số nhiều) (từ lóng) cổ phần mỏ (ở tây-uc); những người buôn cổ phần mỏ (ở tây-uc).
kangaroo	(danh từ) (kangaroo) (quân sự) xe bọc sắt.
kangaroo	(danh từ) buổi họp tiểu ban (ở quốc hội) để thảo luận số điểm bổ khuyết đã được chủ tịch chọn lựa.
kangaroo	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) phiên toà chiếu lệ; toà án trò hề (bất chấp cả công lý, luật pháp).
kangaroo	(nội động từ) đi săn canguru.
kangaroo	(nội động từ) nhảy những bước dài.
kanji	(danh từ) chữ kanji (chữ nhật, viết với gốc từ hán).
kannada	(danh từ) tiếng kannađa (ngôn ngữ chính của mysore ở miền nam ấn độ).
kantian	(tính từ) (triết học) (thuộc) triết học căng.
kantian	(danh từ) (triết học) môn đệ của căng; người theo triết học căng.
kantianism	(danh từ) (triết học) triết học căng, chủ nghĩa căng.
kaoliang	(danh từ) (thực vật học) cao lương.
kaolin	(danh từ) caolin.
kaolinise	(ngoại động từ) caolin hoá.
kaolinite	(danh từ) caolinit.
kaolinization	(danh từ) sự caolin hoá.
kaolinize	(ngoại động từ) caolin hoá.
kapellmeister	(danh từ) nhạc trưởng, người chỉ huy dàn nhạc.
kaph	(danh từ) chữ thứ 11 trong bảng chữ cái hêbrơ.
kapok	(danh từ) bông gạo.
kappa	(danh từ) chữ thứ 10 trong bảng chữ cái hy lạp.
kaput	(tính từ) (từ lóng) bị tiêu rồi, bị khử rồi, bị̣phăng teo rồi; bị phá sạch rồi.
karabiner	(danh từ) cũng carabiner.
karabiner	(danh từ) người đeo súng các bin, nhất là trước đây.
karakul	(danh từ) (động vật học) cừu caracun.
karaoke	(danh từ) hệ thống thính thị đệm nhạc cho một bài hát bằng cách đệm nhạc theo lời bài hát hiện trên một màn hình viđêô; caraôkê.
karat	(danh từ) (từ mỹ, nghĩa mỹ) carat đơn vị tính tuổi vàng.
karate	(danh từ) môn võ caratê.
karateist	(danh từ) xem karate.
karelian	(danh từ) cư dân ở carêli, đông bắc châu âu.
karelian	(danh từ) ngôn ngữ của người carêli.
karen	(danh từ) (số nhiều karen, karens) tộc caren (người ở đông và nam miến điện).
karen	(danh từ) người thuộc tộc người này.
karen	(danh từ) nhóm ngôn ngữ dân tộc caren.
karma	(danh từ) nghiệp (đạo phật).
karoo	(danh từ) vùng cao nguyên đất sét (nam phi).
kaross	(danh từ) áo choàng da lông (của thổ dân nam phi).
karri	(danh từ) cây bạch đàn úc.
karst	(danh từ) vùng đá vôi.
karstic	(tính từ) thuộc vùng đá vôi.
kart	(danh từ) ô tô đua rất nhỏ.
kartel	(danh từ) giường gỗ (trên toa xe chở bò ở nam phi).
kartell	(danh từ) (kinh tế) cacten.
kartell	(danh từ) sự phối hợp hành động chung (giữa các nhóm chính trị).
kartell	(danh từ) sự thoả thuận giữa hai nước đang đánh nhau (về việc trao đổi tù binh...).
kartell	(danh từ) việc trao đổi tù binh.
kartell	(danh từ) thử thách đấu gươm.
karting	(danh từ) môn đua ô tô rất nhỏ.
karyokinesis	(danh từ) (sinh vật học) sự phân bào có tơ.
karyokinetic	(tính từ) thuộc sự phân bào có tơ.
karyologic(al)	(tính từ) thuộc ngành tế bào học.
karyology	(danh từ) ngành tế bào học.
karyolymph	(danh từ) nhựa nhân (chất lỏng sáng trong nhân tế bào).
karyoplasm	(danh từ) (sinh vật học) chất nhân.
karzy	(danh từ) cũng kazi, carsey.
karzy	(danh từ) (thông tục) nhà vệ sinh.
kasbah	(danh từ) xem casbah.
kashmiri	(danh từ) (số nhiều kashmiris, kashmiri) người dân casơmia.
kashmiri	(danh từ) ngôn ngữ ấn của casơmia.
kashruth	(danh từ) cũng kashrut.
kashruth	(danh từ) tình trạng theo chế độ ăn uống nghiêm ngặt của người do thái.
kashruth	(danh từ) luật ăn uống của người do thái (cách giết những con vật để ăn).
kat	(danh từ) cũng khat.
kat	(danh từ) cây catha (ở ả rập trồng để lấy lá và nụ của nó nhai (như) một chất ma túy).
kata	(danh từ) võ phương đông (kacate nhật bản).
katabatic	(tính từ) (khí tượng) thổi xuống (gió).
katabolism	(danh từ) (sinh vật học) sự dị hoá.
katamorphic	(tính từ) đùa cợt) biến chất ở sâu.
katamorphism	(danh từ) (địa lý, địa chất) hiện tượng biến chất đới sâu.
katharevusa	(danh từ) tiếng hy lạp hiện đại tuân theo cách dùng của tiếng hy lạp cổ.
katharsis	(danh từ) sự thành tâm.
kathode	(danh từ) (vật lý) cực âm, catôt.
kation	(danh từ) (vật lý) cation.
katytid	(danh từ) (động vật học) châu chấu voi.
kauri	(danh từ) (thực vật học) cây thông caori (ở tân tây lan).
kauri	(danh từ) gỗ thông caori.
kava	(danh từ) (thực vật học) cây cava (thuộc họ hồ tiêu).
kavass	(danh từ) cảnh sát vũ trang.
kavass	(danh từ) người hầu (ở Thổ Nhĩ Kỳ).
kayak	(danh từ) xuồng caiac (xuồng gỗ nhẹ bọc da chó biển của người et-ki-mô).
kayaker	(danh từ) xem kayak.
kayo	(danh từ (từ mỹ, nghĩa mỹ)) (thể dục, thể thao) (như) knock-out.
kazi	(danh từ) (thông tục) nhà vệ sinh.
kazoo	(danh từ) (nhạc) ống sáo cadu.
kb	((tin học) (viết tắt của kilobyte) kilôbyte = 1024 byte) (viết tắt của kings bench) cuộc bỏ phiếu ở tối cao pháp viện nước anh.
kbe	(viết tắt) hiệp sự huynh trưởng (của một dòng) thuộc vương quốc anh ((knight commander (of the order) of the british empire)).
