-lite	(hậu tố) khoáng sản.
-th	(hậu tố) một số danh từ gốc động từ; tính từ chỉ kết quả hoạt động, tình trạng hoặc phẩm chất.
-th	(hậu tố) số từ thứ tự, kể từ thứ tự.
-trichous	(hậu từ) tạo tính từ.
-tron	(hậu tố) ống chân không.
-tron	(hậu tố) biện pháp xử lý các hạt trong nguyên tử.
-trophin	(hậu tố) chất kích thích.
-tude	(hậu tố) sự, tính chất.
-ty	(hậu tố) tạo những con số có bao nhiêu lần mười.
-ty	(hậu tố) tạo danh từ chỉ tính chất, điều kiện.
-way	(hậu tố) tạo các phó từ gốc tính từ và danh từ chỉ cách thức hành động; phương hướng và vị trí .
