w	(danh từ) w, w (v kép).
w.c	(danh từ) nhà vệ sinh, nhà xí máy (water-closet).
w.c.	(danh từ) (viết tắt) của water-closet.
wabble	(danh từ) sực lắc lư, sự nghiêng bên nọ ngả bên kia.
wabble	(danh từ) sự rung rinh.
wabble	(danh từ) sự rung rung, sự run run (giọng nói).
wabble	(danh từ) (nghĩa bóng) sự do dự, sự lưỡng lự; sự nghiêng ngả (về chính kiến...).
wabble	(nội động từ) lắc lư, nghiêng bên nọ ngả bên kia.
wabble	(nội động từ) lung lay (cái bàn...).
wabble	(nội động từ) lảo đảo, loạng choạng (người).
wabble	(nội động từ) rung rung, run run (giọng nói).
wabble	(nội động từ) (nghĩa bóng) lưỡng lự, do dự, nghiêng ngả.
wabbling	(tính từ) xem wobbling.
wabbly	(tính từ) lung lay.
wabbly	(tính từ) loạng choạng, lảo đảo (người).
wabbly	(tính từ) rung rung, run run (giọng nói).
wabbly	(tính từ) (nghĩa bóng) do dự, lưỡng lự; nghiêng ngả (người).
wacky	(tính từ) (từ mỹ, nghĩa mỹ), (từ lóng) tàng tàng, điên điên.
wad	(danh từ) nùi (bằng bông, nỉ... để chèn đồ đạc...).
wad	(danh từ) nút lòng súng (súng kiểu cổ).
wad	(danh từ) (từ mỹ, nghĩa mỹ), (từ lóng) cuộn giấy bạc; tiền.
wad	(ngoại động từ) chèn bằng nùi cho chắc.
wad	(ngoại động từ) lót bông, lót len (áo...).
wad	(ngoại động từ) đút nút, nhét (bông) vào (tai, nòng súng).
wad	(ngoại động từ) dương dương tự đắc.
wadable	(tính từ) có thể lội qua.
wadding	(danh từ) sự chèn; bông nỉ để chèn.
wadding	(danh từ) sự lót; bông nỉ để lót.
waddle	(danh từ) dáng đi núng nính, dáng đi lạch bạch như vịt.
waddle	(nội động từ) đi núng nính, đi lạch bạch như vịt.
waddling	(tính từ) núng nính, đi lạch bạch.
waddy	(danh từ) (Úc) gậy nhọn (để đánh nhau).
wade	(danh từ) sự lội, sự lội qua.
wade	(nội động từ) lội, lội qua.
wade	(nội động từ) (nghĩa bóng) làm (việc gì) một cách khó nhọc, làm một cách vất vả.
wade	(ngoại động từ) lội qua.
wade	(ngoại động từ) can thiệp vào.
wade	(ngoại động từ) tấn công dữ dội.
wade	(ngoại động từ) hăng hái bắt tay vào (việc gì).
wade	(ngoại động từ) công kích kịch liệt.
wadeable	(tính từ) xem wadable.
wader	(danh từ) người lội.
wader	(danh từ) (số nhiều) ủng lội nước (của người đi săn, người đi câu).
wader	(danh từ) (động vật học) chim cao cẳng, chim lội.
wadi	(danh từ) sông ngòi chỉ có nước vào mùa mưa (ở các nước phương đông).
wading bird	(danh từ) (động vật học) chim cao cẳng, chim lội.
wafer	(danh từ) bánh quế.
wafer	(danh từ) dấu xi (niêm phong bì); vòng giấy niêm (để niêm các văn kiện pháp lý).
wafer	(danh từ) (tôn giáo) bánh thánh.
wafer	(danh từ) mỏng manh.
wafer	(ngoại động từ) gắn xi (vào chai, thư...).
wafer	(ngoại động từ) niêm, niêm phong (bằng dấu xi, bằng vòng giấy).
wafer-thin	(tính từ) mỏng tanh (wafer).
waffle	(danh từ) bánh quế.
waffle	(danh từ) chuyện gẫu; chuyện liến thoắng.
waffle	(nội động từ) nói chuyện gẫu; nói chuyện liến thoắng.
waffle-iron	(danh từ) khuôn bánh quế.
waft	(danh từ) làn (gió...).
waft	(danh từ) sự thoảng qua; cảm giác thoảng qua, sự thoảng đưa, sự phảng phất.
waft	(danh từ) cái vỗ cánh (chim).
waft	(danh từ) (hàng hải) cờ báo hiệu lâm nguy.
waft	(ngoại động từ) thoảng đưa, nhẹ đưa, mang.
waft	(ngoại động từ) (từ cổ, nghĩa cổ) ra hiệu; gửi vọng (tay).
waft	(ngoại động từ) (từ cổ, nghĩa cổ) quay đi, ngoảnh đi.
waft	(nội động từ) phấp phới.
waft	(nội động từ) thoảng qua (trong không khí).
waft	(nội động từ) thổi hiu hiu.
wag	(danh từ) người hay nói đùa, người tinh nghịch.
wag	(danh từ) trốn học.
wag	(danh từ) sự lắc, sự lúc lắc, sự vẫy, sự ve vẩy.
wag	(động từ) lắc, vẫy, ve vẩy.
wag	(động từ) nói chuyện huyên thiên, khua môi múa mép.
wag	(động từ) để cho mọi người bàn tán.
wag	(động từ) kém mà lại đòi ăn trên ngồi trốc; chó nhảy bàn độc; cái đuôi đòi vẫy cái đầu.
wage	(danh từ ((thường) số nhiều)) tiền lương, tiền công.
wage	(danh từ ((thường) số nhiều)) (từ cổ, nghĩa cổ) phần thưởng; hậu quả.
wage	(ngoại động từ) tiến hành.
wage	(ngoại động từ) (từ cổ, nghĩa cổ) đánh cuộc.
wage and price flexibility	(danh từ) (kinh tế học) tính linh hoạt của giá cả và lương.
wage boards	(danh từ) (kinh tế học) ban điều hành tiền công.
