ka ki	() khaki.
ka li	(dtừ) potassium.
kaki nhạt	() light khaki.
kali	(dtừ) kalium.
ke	(dtừ) quay.
ke	(dtừ) duck.
ke ga	() station platform.
ke giữ sách	(dtừ) book ends.
kem	() cream.
kem	() ice-cream.
kem bảo vệ da tay	() barrier cream.
kem bôi mặt	(dtừ) face-cream.
kem cạo râu	() shaving cream.
kem cây	() địa phương.
kem cây	() xem kem que.
kem chanh	(dtừ) sorbet.
kem chống nắng	() suntan cream.
kem chống nắng	() sun cream.
kem cốc	() ice-cream served in glasses.
kem dùng cho da đỡ khô	(dtừ) moisturizer.
kem dưỡng da	() skin cream.
kem dưỡng da	() moisturizing cream.
kem dưỡng da	() moisturizer.
kem đánh	() whipped cream.
kem đánh giày	() shoe cream.
kem đánh giày	() shoe polish.
kem đánh răng	() toothpaste.
kem đánh răng	() dentifrice.
kem đắp mặt	(dtừ) face-pack.
kem đặc có chứa nhiều chất béo của sữa	(thngữ) double cream.
kem hộp	() ice-cream sandwich.
kem làm bánh	() confectioner's custard.
kem lạnh	() ice-cream.
kem lòng trắng trứng	(dtừ) icing.
kem máy	() machine-made ice-cream.
kem mứt	(dtừ) sundae.
kem nền	(dtừ) foundation, vanishing cream.
kem nước	() facial lotion.
kem nước đá	(dtừ) water-ice.
kem que	() ice lolly.
kem que	() popsicle.
kem rẻ tiền bán rong	(dtừ) hokey-pokey.
kem sô cô la	() choc-ice.
kem sữa	() dairy ice-cream.
kem sữa bột ngô	(dtừ) custard.
kem tan	(dtừ) vanishing cream.
kem thoa mặt	() face-cream.
kem thoa mặt	() face-pack.
kem xoá vết nhăn	() antiwrinkle cream.
ken	() stingy, close-fisted.
ken	() stop, fill, caulk.
ken cành nhỏ làm	(ngđtừ) plash.
ken két	() xem két (láy).
ken lại	(dtừ) interlacement.
ken lại	(ngđtừ) interlace.
ken trầm	(dtừ) bombardon.
ken vào	() insert (in/into/between something).
keng	() clang.
keng	() keng keng (láy, ý liên tiếp).
keng keng	() xem keng (láy).
keo	(dtừ) glue.
keo bẩn	() stingy.
keo caramen	(dtừ) stickjaw.
keo cá	(dtừ) fish-glue.
keo cú	() như keo kiệt.
keo cú bủn xỉn	(thngữ) to skin a flea for its hide.
keo da trâu	() cowhide glue.
keo dán	(dtừ) seccotine.
keo dẽo	() stingy.
keo hồ	(dtừ) glue.
keo kẹt	(dtừ) skimpiness.
keo kết cấu	() structural adhesive.
keo kiết	(dtừ) penuriousness.
keo kiết	(ttừ) penurious.
keo kiệt	() xem bủn xỉn.
keo lận	() mean and greedy.
keo ong	(dtừ) propolis.
keo sơn	() very fast.
keo trắng	() white paste.
keo vá xăm	(dtừ) tire cold patching cement.
keo vật	(dtừ) fall.
keo xịt tóc	(dtừ) mousse.
ketxon	(dtừ) coffer-dam.
ké	(đtừ) to contribute money toward a small share.
ké	(đtừ) to squeere in.
ké đầu ngựa	() burweed, cockleburr.
ké né	() địa phương.
ké né	() như rụt rè.
kéc	() lovebird.
kém	() less.
kém	() dim.
kém	() weak.
kém	() bad.
kém ăn	(dtừ) daintiness.
kém cảnh giác	() to be off one's guard.
kém cảnh giác	() to lack vigilance.
kém cạnh	() be treated as second fiddle.
kém cỏi	() weak,.
kém dinh dưỡng	(dtừ) malnutrition.
kém đi	(thngữ) to grow down.
kém đói	() famine, starvation.
kém được tôn trọng	(đtừ) cheapen.
kém giáo dục	(ttừ) underbred.
kém hèn	() inferior, lower (in position, talent...).
kém hiệu suất	(ttừ) inefficient.
kém hoạt động	(dtừ) inactiveness.
kém hoạt động	(ttừ) sleepy.
kém hơn	(dtừ) inferiority.
kém hơn cả	(thngữ) least of all.
kém lanh lợi	(dtừ) slowness.
kém loại hai một ít	(thngữ) beta minus.
kém mà lại đòi ăn trên ngồi trốc	(thngữ) tail wags dog.
kém mắt	() weak eyes.
kém mồm kém miệng	() poor speaker.
kém ngon lành	(ttừ) unappetizing.
kém nhạy cảm	(ttừ) impercipient.
kém nhất	(ttừ) least.
kém phát triển	() underdeveloped.
kém phẩm chất	(ttừ) low-class.
kém sút	() decline, drop, reduce.
kém sức chịu đựng	(ngđtừ) fatigue.
kém sức khoẻ	(ttừ) anaemic.
kém tai	() hard of hearing.
kém tài	(thngữ) to be not in the same street with somebody.
kém thích nghi	(ttừ) unadapted.
kém thông minh	(ttừ) opaque, weak-headed, feeble-minded.
kém thua	() be inferior to.
kém trí nhớ	(dtừ) rust.
kém văn hóa	() uncultivated.
kém văn hóa	() uncultured.
kém vế	() như kém cạnh.
kém vệ sinh	() insanitary.
kém vệ sinh	() unhygienic.
kém vui	(ttừ) slow.
kém xa	() to be inferior to somebody/something.
kém xa	() can't hold a candle to somebody/something.
kém xa	() not to be in the same street as somebody/somethin.
kén	() fastidious.
kén	() particular.
kén	() picky.
kén	() choosy.
kén	() fussy.
kén	() selective.
kén	() cocoon.
kén	() follicle.
kén ăn	() to be fastidious/picky/choosy/fussy/particular/difficult about one's food.
kén ăn	() to be a dainty/fastidious eater.
kén cá chọn canh	(dtừ) fastidiousness.
kén cá chọn canh	(ttừ) fastidious.
kén chọn	() xem kén.
kén chồng	() to look for a husband.
kén dâu	() to choose a daughter-in-law.
kén lựa	() choosy.
kén lựa	() picky.
kén rể	() to choose a son-in-law.
kén tằm	() silkworm cocoon.
kén vợ	() to look for a wife.
kéo	() scissors.
kéo	() to pull.
kéo	() to tug.
kéo	() to strain.
kéo-thả	() (tin học) to drag-and-drop.
kéo bằng dây	(ngđtừ) parbuckle.
kéo bằng ròng rọc	(ngđtừ) pulley.
kéo bằng tời	(ngđtừ) winch, windlass.
kéo bật ra	(thngữ) to pull off.
kéo bè	(đtừ) to form a party.
kéo bè kéo đảng	() gang up.
kéo bông	() spin cotton.
kéo bộ	() foot a long distance.
kéo buồm	() hoist (up) a sail.
kéo cao lên	(đtừ) carry.
kéo cánh	() như kéo bè.
kéo cày	() pull (haul) a plough.
kéo cày	() toil and moil, work hard, toil hard.
kéo cả nhả cả ổ	() the whole family goes out (in the street).
kéo căng	() extensive.
kéo căng quá	(ngđtừ) overstrain.
kéo cắt	() scissors.
kéo cắt	() cutters.
kéo cắt	() clippers.
kéo cắt dây thép gai	() barbed wire cutters.
kéo cắt hoa đèn	(dtừ) snuffers.
kéo cắt kẽm gai	() barbed wire cutters.
kéo cắt kim loại	() metal cutting shear.
kéo cắt móng tay	() nail clippers.
kéo cắt móng tay	() nail scissors.
kéo cắt tóc	() hair clippers.
kéo cắt tôn	(dtừ) snip.
kéo cần	() to pull a lever.
kéo cầy	() pull (haul) a plough.
kéo cầy	() toil and moil, work hard.
kéo chỉ	() spin thread.
kéo co	() tug of war,.
kéo co	() to drag on.
kéo còi	() blow a steam whistle.
kéo cờ	() to hoist one's colours.
kéo cờ	() to hoist a flag.
kéo cưa	(đtừ) to drag on.
kéo da non	() xem lên da non.
kéo dài	() long.
kéo dài	() to lengthen.
kéo dài	() to extend.
kéo dài	() to prolong.
kéo dài	() to last.
kéo dài	() to persist.
kéo dài bốn mươi ngày	(ttừ) quadragesimal.
kéo dài dòng	(dtừ) lengthiness.
kéo dài giọng	(phó từ) drawlingly.
kéo dài không cần thiết	(ttừ) long-drawn-out.
kéo dài mãi	(dtừ) everlastingness.
kéo dài một cách rất chậm chạp	(thngữ) to hang heavily on one's hands.
kéo dài một giờ	(ttừ) horary.
kéo dài một năm	(ttừ, phó từ) yearly.
kéo dài một tuần	(ttừ, phó từ) weekly.
kéo dài mười năm	(ttừ) decennial.
kéo dài năm mươi năm	(ttừ) semi-centennial.
kéo dài năm năm	(ttừ) quinquennial.
kéo dài nặng nề chán ngắt	(thngữ) drag on.
kéo dài nửa năm	(ttừ) semi-annual.
kéo dài nửa ngày	(ttừ) semi-diurnal.
kéo dài quanh năm	(ttừ) perennial.
kéo dài ra	(dtừ) extension, elongation.
kéo dài ra	(ngđtừ) outstretch, elongate.
kéo dài ra	(ttừ) extensile, extensibility, outstretched, extensible.
kéo dài ra hơn	(ngđtừ) outstretch.
kéo dài ra vượt quá	(ngđtừ) outstretch.
kéo dài sáu năm	(ttừ) sexennial.
kéo dài tám năm	(ttừ) octennial.
kéo dài thành đường thẳng	(ttừ) straightaway.
kéo dài thẳng ra	(ttừ) excurrent.
kéo dài thêm	(dtừ) continuation.
kéo dài thời gian	(ngđtừ) spread.
kéo dài thời gian	(thngữ) to gain time.
kéo dậy	(ngđtừ) lift.
kéo đàn kéo lũ	() swarm into a house.
kéo đẩy	(dtừ) pully-hauly.
kéo đẩy	(đtừ) pully-haul.
kéo đẩy	(ttừ) pully-hauly.
kéo đến	(dtừ) flock to, move towards (of a crowd, clouds, etc).
kéo đi	(dtừ) move away.
kéo đi thành hàng nối đuôi nhau	(thngữ) to file off.
kéo đổ	(dtừ) pull down.
kéo giảm	() xem giảm bớt.
kéo gỗ	() snore.
kéo hết sức nhỏ ra	(ngđtừ) fine-draw.
kéo lại	() make up (for lost time).
kéo lê	(đtừ) to drag.
kéo lê ầm ầm	(nđtừ) lumber.
kéo lê chân	(dtừ) shuffle, scuff.
kéo lê chân	(nđtừ) scuff.
kéo lê chân ra đằng sau	(dtừ) scrape.
kéo lê đi	(dtừ) crawl.
kéo lê làm bẩn	(ngđtừ) bedraggle, draggle.
kéo lê làm ướt	(ngđtừ) draggle.
