ha	() exclamation of joy.
ha ha	() aha.
ha ha	() hee-haw.
ha hả	() xem cười ha hả.
ha sít	(dtừ) hashish.
hafini	(dtừ) hafnium.
hai	() two.
hai	() second.
hai	() double.
hai	() bi-.
hai	() di-.
hai âm tiết	(ttừ) dissyllabic.
hai bên	(ttừ) two-sided, bilateral.
hai bó	(ttừ) diadelphous.
hai cách	(phó từ) doubly.
hai cánh	(ttừ) dipterous.
hai cánh hoa	(ttừ) dipetalous.
hai cạnh	(ttừ) two-sided.
hai chấm	() xem dấu hai chấm.
hai chiều	() two-way.
hai chiều	() bidirectional.
hai chiều	() 2-d.
hai chiều	() two-dimensional.
hai chính quyền	(dtừ) diarchy.
hai cực	(ttừ) dipolar, bipolar.
hai dãy	(ttừ) distichous.
hai đảng	(ttừ) bipartisan.
hai đầu	(ttừ) double-headed.
hai đầu máy	(ttừ) double-headed.
hai hàng	() double row.
hai kính mắt	(ttừ) binocular.
hai lá	(ttừ) bicuspid.
hai lá mầm	(ttừ) dicotyledonous.
hai là	(phó từ) secondly.
hai là vì	(thngữ) what with...and what with....
hai lần	() two times.
hai lần	() twice.
hai lần một ngày	(ttừ) semi-diurnal.
hai lòng	() double-dealing.
hai lòng	() double-faced.
hai lòng	() two-faced.
hai lưỡi	() two-edged.
hai lưỡi	() double-edged.
hai mang	() double.
hai màu gốc	(dtừ) dichromatism.
hai mảnh	(ttừ) two-piece.
hai mảnh vỏ	(ttừ) bivalve.
hai mạch	(ttừ) double-circuit.
hai mặt	() doubled-sided.
hai mặt	() double-faced.
hai mặt	() reversible.
hai mặt	() double-dealing.
hai mặt	() two-faced.
hai mặt lõm	(ttừ) concavo-concave, biconcave.
hai mặt lồi	(ttừ) convexo-convex, biconvex.
hai mặt như nhau	(ttừ) reversible.
hai môi	(ttừ) bilabiate.
hai mươi	() twenty.
hai mươi lăm bảng anh	(dtừ) pony.
hai mươi mặt	(ttừ) icosahedral.
hai mươi năm một lần	(ttừ) vicennial.
hai năm một lần	(ttừ) biennial.
hai năm rõ mười	() it's as clear as daylight.
hai ngày một lần	(thngữ) every other day.
hai ngày một lần	(thngữ) every second day.
hai nghĩa	(ttừ) equivocal, double-barrelled, amphibological, double-meaning.
hai nguyên tử	(ttừ) diatomic.
hai người biểu diễn	(ttừ) four-handed.
hai ngựa	(ttừ) pair-horse.
hai nòng	(ttừ) double-barrelled.
hai pha	(ttừ) two-phase, diphasis.
hai phai	() high-fidelity.
hai phai	() hi-fi.
hai sắc	(dtừ) dichromatism.
hai số một	(dtừ) crab.
hai tai	(ttừ) binaural.
hai tay	() both hands.
hai tay	() eagerly.
hai tay	() unreservedly.
hai tay buông xuôi	() to die.
hai tay giữ chặt với nhau sau lưng	(đtừ) frog-march.
hai tháng một lần	(ttừ, phó từ) bimonthly.
hai thân	() father and mother, parennts.
hai thứ tiếng	(ttừ) bilingual.
hai tính	(ttừ) androgynous.
hai tốc lực	() two-speed.
hai trang báo liền mặt	(dtừ) spread.
hai trăm năm một lần	(ttừ) bicentennial.
hai trận đấu liên tiếp trong một ngày	(dtừ) double-header.
hai tròng	(ttừ) bifocal.
hai trục	(ttừ) biaxial.
hai tuần lễ	(dtừ) fortnight.
hai tuần một lần	(ttừ, phó từ) fortnightly.
hai van	(ttừ) bivalve.
hai vật giống nhau như đúc	(dtừ) tweedledum.
hai vợ chồng	() the married couple.
hai xu	(dtừ) twopence.
hai ý	(ttừ) double-barrelled, double-meaning.
halogen	(dtừ) halogen.
halogen	(ttừ) halogenous.
halogen hóa	(dtừ) halogenation.
haloit	(dtừ) haloid.
ham	() greedy.
ham	() eager.
ham	() thirsty.
ham	() keen.
ham ăn	() xem tham ăn.
ham biết	(dtừ) curiosity, curiousness.
ham biết	(ttừ) curious.
ham chơi	() to indulge in pleasures.
ham chuộng	() be an amateur of.
ham danh vọng	() xem hám danh.
