i	(dtừ) iota.
i on	() (vật lý) ion.
i on hóa	() (vật lý) to ionize.
i ốt	() (hóa học) iodine.
i tờ	() first lesson.
i tờ	() rudiment.
iambơ	(dtừ) iambic.
ilini	(dtừ) illinium.
im	(ttừ) calm.
im	(ttừ) silent.
im	(ttừ) quiet,.
im ả	() calm, quiet.
im ắng	() như im ả.
im bẵng	() keep silence suddenly, stop talking suddenly.
im bặt	() stop crying abruptly.
im cái mồm đi	(thngữ) go to bed!.
im đi	() shut up, be still.
im giời	() fine and calm (weather).
im hơi lặng tiếng	(dtừ) silence.
im hơi lặng tiếng	(ttừ) mute.
im im	() silent, still, tacitum, to keep silence.
im ỉm	() silent.
im ỉm chết voi	() still water runs deep.
im lặng	() silent.
im lặng chết chóc	() ominous/deathly silence.
im lặng là đồng ý	() silence implies consent.
im lặng là vàng	() silence is golden.
im lặng là vàng	() no wisdom like silence.
im lặng như tờ	() as quiet as the grave.
im lặng như tờ	() noiseless.
im lìm	() dormant.
im lìm	() quiescent.
im miệng	(thngữ) to dry up.
im mồm	() xem câm mồm.
im phăng phắc	() xem im lặng như tờ.
im thin thít	(thngữ) to button (up) one's lip.
im thít	() as quiet as a mouse.
im thít	() completely silent.
im thít	() in complete silence.
in	() to print.
in ảnh	() print develop (photografically).
in báo	() print newspaper.
in bản viết	(ngđtừ) hectograph.
in bằng bản in đúc	(dtừ) stereotypy, stereotype.
in bằng bản in đúc	(ngđtừ) stereotype.
in bằng bản kẽm	(ngđtừ) zincograph.
in bằng chữ hoa	(dtừ) capitalization.
in bằng chữ hoa	(ngđtừ) capitalise.
in bằng giấy nến	(ngđtừ) stencil.
in bằng hệ thống chữ bray	(ngđtừ) braille.
in bằng kẽm	(ttừ) zincographic.
in bằng máy in rô-nê-ô	(ngđtừ) mimeograph.
in bóng	() to be silhouetted.
in bóng	() to be profiled.
in chữ	(dtừ) lettering.
in chữ đậm	() in bold (type).
in chữ vào	(dtừ) enfacement.
in chữ vào	(ngđtừ) enface.
in dấu	() affix the seal.
in dấu	() imprint.
in dấu lên	(ngđtừ) stamp.
in dấu tiền đồng	(dtừ) squeeze.
in đá	(ngđtừ) lithograph.
in đậm	() to print in bold type.
in đậm	() to print in bold.
in đè lên	(dtừ) overprint.
in đè lên	(ngđtừ) overprint.
in đề mục	(ngđtừ) rubricate.
in hệt	() xem y hệt.
in hình thoi	(ngđtừ) diaper.
in hoa	() material with a flower pattern/print.
in hoa	() flowered material.
in ít	() xem ít (láy).
in ỉn	() grunting of a pig.
in ỉn	() grunt.
in la de	() laser printing.
in lại	() to reprint.
in lặng	(thán từ) sh.
in lito	() lithography.
in lụa	() silk-screen printing.
in lụa	() screen-printing.
