word,definition,time,date
bún thịt nướng,(d.từ) A Vietnamese dish including rice noodle served with grilled pork, vegetables and sauce.,13:20,26/08/2024
bình chữa lửa,() xem bình chữa cháy.,15:19,26/08/2024
béo mắt,() (ngủ cho béo mắt) sleep to one's heart's content.,15:21,26/08/2024
anh túc,(danh từ) the second poppy :v,14:05,27/08/2024
anh túc,(danh từ) the second poppy :v,14:05,27/08/2024
anh túc,(danh từ) the second poppy :v,14:06,27/08/2024
ăn,() to attend a feast on the occasion of.,14:07,27/08/2024
ai cũng thân thì chẳng thân với ai cả,() a friend to all is a friend to none.,14:07,27/08/2024
ăn,() to attend a feast on the occasion of.,14:07,27/08/2024
anh túc,(danh từ) the second poppy :v,14:09,27/08/2024
ai cũng thân thì chẳng thân với ai cả,() a friend to all is a friend to none.,14:09,27/08/2024
anh túc,(danh từ) the second poppy :v,14:09,27/08/2024
anh túc,() poppy.,14:10,27/08/2024
anh túc,(danh từ) the second poppy :v,14:11,27/08/2024
anh túc,(danh từ) the second poppy :v,14:13,27/08/2024
cây thuốc phiện,(dtừ) poppy.,14:13,27/08/2024
anh túc,() poppy.,14:13,27/08/2024
akita,(danh từ) a japanese dog ,14:16,27/08/2024
akita,(danh từ) another japanese dog ,14:16,27/08/2024
akita,(tính từ) another japanese dog ,14:17,27/08/2024
akita,(tính từ) another japanese dog ,14:17,27/08/2024
akita,(danh từ) a japanese dog ,14:17,27/08/2024
akita,(danh từ) a japanese dog ,14:17,27/08/2024
