word,time,date
ba bàn thắng,12:31,13/08/2024
jăm bông,12:37,13/08/2024
o dài,12:41,13/08/2024
xe ba ngựa đóng hàng dọc,15:02,13/08/2024
kim bản vị,15:02,13/08/2024
a di đà phật,12:04,17/08/2024
ăn bám,13:09,17/08/2024
ta,16:32,18/08/2024
sa,16:33,18/08/2024
a a,16:33,18/08/2024
a di đà phật,16:33,18/08/2024
người a-rập,16:42,18/08/2024
tính toán,16:42,18/08/2024
ý trời,16:43,18/08/2024
ăn bám,15:13,20/08/2024
a di đà phật,11:54,22/08/2024
ăm bám,15:23,22/08/2024
tôn ngộ không,10:26,24/08/2024
tôn ngộ không,11:15,24/08/2024
phở,11:16,24/08/2024
bún thịt nướng,13:13,26/08/2024
bún,13:14,26/08/2024
bún thịt nướng,13:14,26/08/2024
